Season,Team,Salary,Player
1984-85,Chicago Bulls,$550000,Michael Jordan
1985-86,Chicago Bulls,$630000,Michael Jordan
1987-88,Chicago Bulls,$845000,Michael Jordan
1988-89,Chicago Bulls,$2000000,Michael Jordan
1989-90,Chicago Bulls,$2500000,Michael Jordan
1990-91,Chicago Bulls,$2500000,Michael Jordan
1991-92,Chicago Bulls,$3250000,Michael Jordan
1992-93,Chicago Bulls,$4000000,Michael Jordan
1993-94,Chicago Bulls,$4000000,Michael Jordan
1994-95,Chicago Bulls,$3850000,Michael Jordan
1995-96,Chicago Bulls,$3850000,Michael Jordan
1996-97,Chicago Bulls,$30140000,Michael Jordan
1997-98,Chicago Bulls,$33140000,Michael Jordan
2001-02,Washington Wizards,$1000000,Michael Jordan
2002-03,Washington Wizards,$1030000,Michael Jordan
