Season,Age,Team,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Player
2004-05,20,CLE,1,8,6,2,0,3,0,13,Lebron James
2005-06,21,CLE,2,6,2,2,0,1,2,29,Lebron James
2006-07,22,CLE,0,6,6,1,0,4,0,28,Lebron James
2007-08,23,CLE,1,8,9,2,2,4,3,27,Lebron James
2008-09,24,CLE,0,5,3,0,0,3,0,20,Lebron James
2009-10,25,CLE,1,5,6,4,0,2,1,25,Lebron James
2010-11,26,MIA,2,12,10,0,0,4,3,29,Lebron James
2011-12,27,MIA,0,6,7,0,0,4,2,36,Lebron James
2012-13,28,MIA,0,3,5,1,0,4,0,19,Lebron James
2013-14,29,MIA,1,7,7,3,0,1,0,22,Lebron James
2014-15,30,CLE,1,5,7,2,0,4,1,30,Lebron James
2015-16,31,CLE,0,4,7,0,0,4,0,13,Lebron James
2016-17,32,CLE,0,3,1,0,0,4,2,23,Lebron James
2017-18,33,CLE,0,10,8,1,0,5,2,29,Lebron James
2018-19,34,LAL,2,8,4,0,2,1,1,19,Lebron James
1984-85,21,CHI,3,6,2,3,1,1,4,7,Michael Jordan
1985-86,22,CHI,,,,,,,,,Michael Jordan
1986-87,23,CHI,0,0,4,2,0,5,2,11,Michael Jordan
1987-88,24,CHI,3,8,3,4,4,2,5,40,Michael Jordan
1988-89,25,CHI,1,2,3,5,0,4,1,28,Michael Jordan
1989-90,26,CHI,1,5,2,5,1,5,1,17,Michael Jordan
1990-91,27,CHI,3,5,5,2,0,10,2,26,Michael Jordan
1991-92,28,CHI,1,1,5,2,0,1,2,18,Michael Jordan
1992-93,29,CHI,3,4,5,4,0,6,5,30,Michael Jordan
1995-96,32,CHI,1,4,1,1,0,0,1,20,Michael Jordan
1996-97,33,CHI,3,11,11,2,0,3,4,14,Michael Jordan
1997-98,34,CHI,1,6,8,3,0,2,0,23,Michael Jordan
2001-02,38,WAS,0,4,3,2,0,1,1,8,Michael Jordan
2002-03,39,WAS,2,5,2,2,0,2,3,20,Michael Jordan
1997-98,19,LAL,2,6,1,2,0,1,1,18,Kobe Bryant
1999-00,21,LAL,1,1,3,2,0,1,3,15,Kobe Bryant
2000-01,22,LAL,2,4,7,1,0,3,3,19,Kobe Bryant
2001-02,23,LAL,2,5,5,1,0,0,2,31,Kobe Bryant
2002-03,24,LAL,2,7,6,3,2,5,5,22,Kobe Bryant
2003-04,25,LAL,1,4,4,5,1,6,3,20,Kobe Bryant
2004-05,26,LAL,3,6,7,3,1,4,5,16,Kobe Bryant
2005-06,27,LAL,0,7,8,3,0,3,5,8,Kobe Bryant
2006-07,28,LAL,1,5,6,6,0,4,1,31,Kobe Bryant
2007-08,29,LAL,0,1,0,0,0,0,0,0,Kobe Bryant
2008-09,30,LAL,1,4,4,4,0,1,0,27,Kobe Bryant
2009-10,31,LAL,,,,,,,,,Kobe Bryant
2010-11,32,LAL,10,14,3,3,0,4,2,37,Kobe Bryant
2011-12,33,LAL,0,1,1,2,0,1,2,27,Kobe Bryant
2012-13,34,LAL,2,4,8,2,2,1,2,9,Kobe Bryant
2013-14,35,LAL,,,,,,,,,Kobe Bryant
2014-15,36,LAL,,,,,,,,,Kobe Bryant
2015-16,37,LAL,1,6,7,1,0,1,1,10,Kobe Bryant
